quote,author,category
"Mardi Gras, baby. Mardi Gras. Time when all manner of weird shit cuts loose and parties down.","Sherrilyn Kenyon, No Mercy","funny, mardi-gras"
Obedience to The Holy Spirit brings you heaven now.,TemitOpe Ibrahim,"bliss, heaven, inspirational, life-lesson, obedience"
"I'm a romantic and I kinda believed in this fairy tale. And in some ways I think that's always been to my advantage, because like if you can believe in something great, I feel like you can achieve something great.",Katy Perry,"fairy-tale, love, romantic"
Failing over and over again is how you learn to succeed over and over again.,Matshona Dhliwayo,"failure, genius, greatness, inspirational, motivational"
life will come to an end one moment in time.,"Lailah Gifty Akita, Think Great: Be Great!","advice, daily-inspiration, death, end, endurance"
Teach a child to love his world deeply so that he may find the beauty and joy of life.,Debasish Mridha,"beauty, debasish-mridha, inspirational, joy, philosophy"
"Then the hard, dry Spaniards came exploring through, greedy and realistic, and their greed was for gold or God. They collected souls as they collected jewels.","John Steinbeck, East of Eden","faith, greed, religion"
"Entrepreneur, don't just read history, write it so people can see the future in the present.",Onyi Anyado,"business, entrepreneur, entrepreneur, entrepreneurship, entrepreneurship"
Never lose a chance of saying a kind word.,"William Makepeace Thackeray, Vanity Fair",kindness
Diversity: the art of thinking independently together.,Malcolm Forbes,"art, diversity, together "
"To fully understand how utterly amazing we really are we must first understand all of the things about us that are not, and then we must make our habitation where they are not.","Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus","amazing, characteristics, growth, habitation, identity"
Bleesed is the person whose mind is ever at peace never diprssed never disappointed.,Kishore Bansal,"blessed, dipressed, disappointed, mind, peace"
"What what,"" Trapis said as he hurried over to tend to her, his bare feet slapping on the floor. ""What what. Hush hush.","Patrick Rothfuss, The Name of the Wind","family, kindness, love"
"We must never forget that while striving to leave a better planet to our kids, it is just as important that we strive to leave better kids to our planet.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","kids, life, planet"
No man can walk so long in the Shadow that he cannot come again to the Light.,"Robert Jordan, The Great Hunt","darkfriend, light, redemption, shadow"
A bitter critic is the sweetest corrector.,"Michael Bassey Johnson, Master of Maxims","bitter, change, constructive-criticism, correction, critic"
A work of art is never finished. It is merely abandoned.,E.M. Forster,"gustave-flaubert, misattributed, paul-valery, writing"
"I cried until my eyes swelled shut, and then I slept, a black, dreamless sleep from which I awoke amazingly refreshed, at least until I remembered.","Elizabeth Berg, The Year of Pleasures","depression, loss"
"If you live with the limited beliefs of your mind, you cannot see life, beyond the physical existence, while in reality, the life happens at a much deeper level.",Roshan Sharma,"beliefs, knowledge, physical, reality, subtle"
Happiness can only bloom in the garden of peace.,Debasish Mridha,"debasish-mridha, happiness, inspirational, peace, philosophy"
"THING TO TRY: If you are asked to describe a suspect to a police sketch artist, describe in precise detail, the features of the police sketch artist. This is one of the rare instances where two people can do one self-portrait.","Demetri Martin, This is a Book","demetri-martin, humour"
"When I got [my] library card, that was when my life began.",Rita Mae Brown,"libraries, reading"
Our time is the life we have at the moment,Sunday Adelaja,"calling, destiny, employment, god, jobless"
"It's the craziest thing, but I can't stop thinking about you.","Anna Godbersen, The Luxe","love, thinking"
"I am not grown up, because I grow everyday.",Alin Sav,"inspirational, life"
"My life, as it passes thus, was indeed hateful to me, and it was during sleep alone that I could taste joy. O blessed sleep!","Mary Wollstonecraft Shelley, Frankenstein","dreams, sadness, sleep"
"Cooking is great, but the meal that has been prepared for you with love is the best.",Stephen Richards,"cooking, happy-eating, love, meals, stephen-richards"
People are pretty forgiving when it comes to other people's families. The only family that ever horrifies you is your own.,Douglas Coupland,"people, you, pretty "
The Soul selects her own Society.,"Emily Dickinson, The Complete Poems of Emily Dickinson",soul
It is a great thing to be able to make God your source and the time of solitude presents you with that opportunity.,"Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?","calling, conversion, convert, gift, god"
i am constantly torn between killing myself and killing everyone around me. those seem to be the two choices. everything else is just killing time.,"John Green, Will Grayson, Will Grayson","depression, grudge, hatred"
Business should never be merely transactional -it should be transformational,"Rasheed Ogunlaru, Soul Trader: Putting the Heart Back into Your Business","business, customer, customer-care, inspiring, leadership"
It takes a great man to be a good listener.,Calvin Coolidge,"greatness, listening, wisdom"
True love is when all differences vanish with mere eye contact.,"Tapan Ghosh, Faceless The Only Way Out","love, love"
"The Ultimate Answer to Life, The Universe and Everything is...42!","Douglas Adams, The Hitchhiker's Guide to the Galaxy",funny
"Let kindness be the flower of your heart and fragrance of your mind. Let it fill the world with peace, joy and the fragrance of kindness.",Debasish Mridha,"debasish-mridha, flower, fragrance, heart, kindness"
"A soft moan escapes me, making him smile even more. He's too good at this.","Collette West, Night Games","baseball, contemporary, contemporary-romance, romance, sports"
"Still, perhaps that's all lives are, all the world is, a collision of vast conflagrations, each sparked from nothing.","Mark  Lawrence, Prince of Fools","fire, life"
"Through out your life people will project many things onto you. The projections are not about you, they are about them. Most will actually have very little to do with who you actually are. Remember this instead of reacting.","Renae A. Sauter, An Empowered Life: Mind/Body/Spirit Empowerment","inspirational, inspirational, love, mental-health, personal-growth"
Sometimes I think heaven must be one continuous unexhausted reading.,"Virginia Woolf, Selected Letters","heaven, reading"
Mother earth cried so much that she has pool of tears more than the land of happiness.,Santosh Kalwar,"earth, happiness, tears"
Joy is found in simple things.,"Todd Stocker, Dancing with God: First Year Thoughts on the Loss of My Daughter","joy, simple-life, simplicity"
"Conscience, the divine nature within us, sees everything as connected, what’s good for all is always its priority.","Ilchi Lee, Change: Realizing Your Greatest Potential","inspirational, self-development"
Christianity would have lacked a great essence without the Bible. A Christian who seldom devotes a little time to read the Bible is with a great question mark.,Ernest Agyemang Yeboah,"bible-study, christian-life, christianity, prayer, prayer-life"
A broken friendship that is mended through forgiveness can be even stronger than it once was.,"Stephen Richards, Forgiveness and Love Conquers All: Healing the Emotional Self","forgive, forgiveness, forgiving, forgiving-others, forgiving-yourself"
"Accept love with love, but never forget to forgive hate with love.",Debasish Mridha,"accept-love, debasish-mridha, forgive-hate, forgiveness, inspirational"
I suppose I'm saying that defiance is actually part of the lyric job,Seamus Heaney,"poetry, poets, prosody"
"Set goals,pursue them,achieve them,and then surpass them.",Matshona Dhliwayo,"goal, success"
"It will not be easy for him to see her dead, should they become close. But she has so few friends. She cannot turn one away.","Kendare Blake, Three Dark Crowns","arsinoe, friendship, friendship, kendare-blake, love"
"Never feel sorry for me, just teach me and watch me grow.",Jonathan Anthony Burkett,"growth, life, understanding"
"[Jesus] prayed briefly when He was in a crowd; He prayed a little longer when He was with His disciples; and He prayed all night when He was alone. Today, many in the ministry tend to reverse that process.","Billy Graham, Billy Graham in Quotes","billy-graham, prayer"
"If typos are God's way of keeping a writer humble, plot holes certainly keeps one on their knees.",E.A. Bucchianeri,"author, authors, book, books, errors"
Valid questions are better than invalid assumptions.,Matshona Dhliwayo,"assumptions-quote, fact, opinion, questions, truth"
Beauty is one of the rare things which does not lead to doubt of God.,Jean Anouilh,"beautiful, beauty, evidence, god, rare"
The world is too quiet without you nearby.,Lemony Snicket,"love, quiet, you"
We wonder with our thoughts to the heavens.,Lailah Gifty Akita,"creativity, imagination, spiritual, wonder"
"We're standing here, beat to shit, walking away from a crime scene where either or both of us could have bought it, and you're asking me to marry you?""""Perfect timing.","J.D. Robb, Glory in Death","death, eve-dallas, glory"
"And because Eddie knew that was only the truth, he said nothing.","Stephen King, The Waste Lands","maturity, wisdom"
"When I look at your smile, I can see your heart. When I look at your heart, it makes me smile back.","Ron Baratono, The Writings of Ron Baratono","heart, love, relationships, smile"
A good garden may have some weeds.,Thomas Fuller,"good, garden, may "
Man is not merely born to make money. But to fulfill his mission.,Lailah Gifty Akita,"birth, encouragement, humanity, inspirational, man"
Once we were a stranger... just passing by.......in school... we never know each other... but one day came and we became friends.,"Deyth Banger, Afraid - Part 2","afraid, became, know, truth"
"I have never bought into the idea that blood is thicker than water. Love and respect are meant to be earned from our children, our spouses, our families, and our friends.","Raquel Cepeda, Bird of Paradise: How I Became Latina"," friendship, love, relationship-advice, relationships, respecting-others"
Every day of our life has risk. So never fear to take one.,Debasish Mridha M.D.,"debasish-mridha, fear, inspirational, never-fear, philosophy"
"It is when we finally realize the futility of violence and the invalidity of war will we, the people of this world finally wake up!",Avijeet Das," humanity, people, wake-up, wars"
Madness exist in the mind.,Lailah Gifty Akita,"madness, mental-health, mind, wise-sayings"
Your smile carries my heart away every time that I see you.,Anthony T. Hincks,"away, carry, heart, love, philosophy"
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,"Roy T. Bennett, The Light in the Heart","dreams, fearless, heart, inspiration, inspirational"
A leader is a lamp not just a sign board.,Debasish Mridha,"debasish-mridha, inspirational, leader, leadership, philosophy"
There is no point in using the word 'impossible' to describe something that has clearly happened.,"Douglas Adams, Dirk Gently's Holistic Detective Agency","contrary, denial, impossible, logic, past"
"The thing I hate about religion is, they ban what they have done and force us to do what they haven’t done.",M.F. Moonzajer,"ban, force, religion"
"I know that I have lived because I have felt, and, feeling giving me the knowledge of my existence, I know likewise that I shall exist no more when I shall have ceased to feel.",Giacomo Casanova,"giving, me, know "
A Genius always admires the choices of the most Confident Fool!,Vishwanath S J,"admiration, fool, genius, inspirational, life-lessons"
Living a lifetime is experiment.,Lailah Gifty Akita,"adventure, inspirational, living"
"Full fathom five thy father lies;Of his bones are coral made;Those are pearls that were his eyes:Nothing of him that doth fade,But doth suffer a sea-changeInto something rich and strange.Sea-nymphs hourly ring his knell: Ding-dong Hark! now I hear them,—Ding-dong, bell.","William Shakespeare, The Tempest","death, water"
If there is another world  he lives in bliss If there is none  he made the best of this.,Robert Burns,life
There are so many futures still to dawn!,"Friedrich Nietzsche, Daybreak: Thoughts on the Prejudices of Morality",future
Devices which in some curious new way imitate nature are attractive to simple minds.,"Vladimir Nabokov, Bend Sinister","nature, simple-minds"
"Historically, I come from Jewish history. I had the classic upbringing in the Yeshiva, learning, learning, and more learning.",Elie Wiesel,"history, jewish, classic "
"Focus your mind on love, peace and harmony.It will vanish fear, doubt and disharmony.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"Everybody deserves love, but nobody is entitled to it.",Katerina Stoykova Klemer,"entitlement, love, relationships"
"Have you noticed that whatever sport you're trying to learn, some earnest person is always telling you to keep your knees bent? ",Dave Barry,"humor, sports"
"By studying yesterday, you will understand today.","Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem","adventures, experiences, future, history, knowledge"
"Author points out in Woodrow Wilson the flipside of the positive we might call big picture vision. He observes that as college president Wilson resorted to the language of a national crusade when he met resistance in a local, academic issue.","David Pietrusza, 1920: The Year of the Six Presidents","compromise, leadership, perspective, vision"
"The entire world is surviving only due to ‘beliefs’, not because of ‘Knowledge’ (Gnan). Every human being is (living) only because of beliefs.",Dada Bhagwan,"belief, knowledge, live, spiritual, spiritual"
"It is raining in my heart.Humanity is shedding a tear.I asked, “Who is suffering?”Is it my mother?Silence.No answer.Everyone has a mother,And she always suffers.Why as a child do we let our mothers suffer?I could not get an answer.",Debasish Mridha M.D.,"crying, debasish-mridha, humanity, inspirational, mother"
"Because when I kiss you, I want yours to be the first... and last lips I ever kiss.","Renee Ahdieh, The Rose & the Dagger"," kiss, romance, swoon-worthy, young-adult"
"If you can convince people that freedom is injustice, they will then believe that slavery is freedom.",Stefan Molyneux,"anarchy, brainwashing, communism, freedom, government"
"Idolatrous beliefs have eroded the foundations of truth. Whether ancient or modern, all have posed alternatives to the biblical way of approaching God.","Billy Graham, Billy Graham in Quotes","billy-graham, religion"
God is the greatest Teacher.,Lailah Gifty Akita,"christian, education, god, inspirational, teacher"
Let the tent be struck.,Robert E. Lee,"death, dying"
True happiness is of a retired nature and an enemy to pomp and noise  it arises  in the first place  from the enjoyment of one's self  and  in the next  from the friendship and conversations of a few select companions.,Joseph Addison,happiness
Music is breath of life.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","advice, daily-life, inspiring-words, lessons-learnt, life"
"As soon as you trust yourself, you will know how to live.","Johann Wolfgang von Goethe, Faust: First Part"," life, self-confidence, self-trust"
"Fear attracts the darkness. When you have no fear, the darkness fears you.","Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem","attraction, darkness, fear, fear, life"
"If women are given the same honor and dignity in society as the men, they will run the society way better than men.",Abhijit Naskar,"brainy, enlightenment, female-empowerment, inspirational, inspirational"
Much that may seem evil can be good.,"George R.R. Martin, A Dance with Dragons","evil, good"
Don't deny your parents a chance at happiness and also an opportunity to see you achieve greatness.,Unarine Ramaru,"achievement, attitude, chance, children, dreams"
Sometimes words I think are small come out big.,"Corey Ann Haydu, The Careful Undressing of Love","friendship, speaking, writing"
"Miss Abbott, don't worry over me. Some people are born not to do things. I'm one of them.","E.M. Forster, Where Angels Fear to Tread","em-forster, life, philosophy"
The soul knows its sorrow.,Lailah Gifty Akita,"inspiring, life, pain, sorrow, soul"
I have forgotten my umbrella. ,Friedrich Nietzsche,"aphorism, derrida, interpretation, philosophy"
The basic structure of the universe is balanced on a razor’s edge for life to exist,Sunday Adelaja,"balance, exist, life, structure, universe"
"Nobody can always have devout feelings: and even if we could, feelings are not what God principally cares about.","C.S. Lewis, Mere Christianity"," devout, faith, feelings, god"
"People get stupid when they're in love; people want what they can't have; and the years between ages twelve and eighteen always, always suck.","Claudia Gray, Evernight",romance
The oldest and strongest emotion of mankind is fear.,H.P. Lovecraft,"emotion, fear, mankind"
"Like it takes so little not only to change something, but to make you forget the way it once was, as well.","Sarah Dessen, Lock and Key","change, forgetting"
"If you can begin with enthusiasm and confidence, you are half way to success.",Debasish Mridha,"confidence, debasish-mridha, gandhi, inspirational, miraboli"
"Cosmetic surgery processes the bodies of woman-made women, who make up the vast majority of its patient pool, into man-made women.","Naomi Wolf, The Beauty Myth","advertising, aging, beauty, body-image, cosmetic-surgery"
One man scorned and covered with scars still strove with his last ounce of courage to reach the unreachable stars and the world will be better for this. ,Miguel de Cervantes,"stars, man, world "
The expressions of those moving about a picture gallery show ill-concealed disappointment that they only find pictures there.,"Walter Benjamin, One Way Street And Other Writings","art, critical-theory, experience, life, marxism"
"What a blessing to love someone so much that you long for them at the core of your being. At the same time, when you are separated from that person, that longing is a torture I would not wish on anyone.",Steve Maraboli,"blessing, life, love, relationships, soulmates"
"Ever since I discovered that my god given male member was going to give me no peace, I decided to give it no rest in return.",Christopher Hitchens,"humour, sex, wit"
He who says either that the time for philosophy has not yet come or that it has passed is like someone who says that the time for happiness has not yet come or that it has passed.,Epicurus,philosophy
"All are born with halters round their necks; but it is only when caught in the swift, sudden turn of death, that mortals realize the silent, subtle, ever-present perils of life.","Herman Melville, Moby-Dick or, The Whale","death, dying, life, mortal, mortality"
"To read is to translate, for no two persons' experiences are the same. A bad reader is like a bad translator: he interprets literally when he ought to paraphrase and paraphrases when he ought to interpret literally.",W.H. Auden,"consciousness, educational, reading"
We often feel proud of our knowledge even when it is filled with emptiness.,Debasish Mridha,"debasish-mridha, feel-proud, inspirational, knowledge, philosophy"
Even the tallest trees always begin as a seed.,"A.J. Darkholme, Rise of the Morningstar","failure, focus, grow, growth, height"
"Why is everything always my decision?"" I asked.Because you will not tolerate anything else.""Oh, I remembered now. ""Great"", I whispered.- Anita to Jean-Claude","Laurell K. Hamilton, Cerulean Sins","anita, anita-blake, fiction, hunter, jean-claude"
The secret of all greatness is in knowing what to do with time. The secret of all the great men and women in history is that they converted their time into tangible products.,"Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?","calling, conversion, convert, gift, great"
"What I believe is that when it comes to big things in life, there are no accidents. Everything happens for a reason. You are here for a reason -- and it's not to fail and die.","Ransom Riggs, Hollow City","belief, choices, destiny"
"Women need a reason to have sex, while men just need an angle","Josh Stern, And That’s Why I’m Single","angle, me, need, reason, women"
"My heart feels strong for you, my desire isn’t just to marry you and let this be our moment, Kiersten. I want to marry you and create a million moments every single day.","Rachel Van Dyken, Fearless","desire, love"
"Growing nails breaks all conducts (aachar). When one conduct breaks, it breaks all other conducts.",Dada Bhagwan,"breaks, growing, spiritual, spiritual"
Monsters don’t get happy endings.,"Paula Stokes, Ferocious","happiness, monsters"
May you live to be as old as 120 years old.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","desires, dream, elder-people, elderly-care, life"
"After years in utter darkness, I force my eyes into the light. For I must retain my sight, that I might view the wholeness of the void, objectively.",Justin K. McFarlane Beau,"blindness, clairvoyance, darkness, light, sight"
Every victory and success that God will give you will make others jealous it will cause hatred and opposition as well ,Sunday Adelaja,"god, hatred, jealous, opposition, success"
Acceptance” is the most beautiful word in the English language.,David W. Earle,"acceptence, change, recovery, spirituality, steps"
"Intelligence is a way of thinking, not a choice of words.","Mokokoma Mokhonoana, N for Nigger: Aphorisms for Grown Children and Childish Grown-ups","bombast, brainpower, intellect, intellectual, intelligence"
"only someone who is ready for everything, who doesn't exclude any experience, even the most incomprehensible, will live the relationship with another person as something alive and will himself sound the depths of his own being.","Rainer Maria Rilke, Letters to a Young Poet","experience, openness, relationships"
"There is a sense that things, if you keep positive and optimistic about what can be done, do work out.",Hillary Clinton,"work, done, you "
People should just buy a CD and rip it. You are legal then.,Bill Gates,"people, you, just "
Satan impregnated my mother one lovely spring morning. We didn’t have the heart to tell my father.,Holly Hood,"boonville, family, funny, life, sarcasm"
Life is going on even if you are not on the train.,Debasish Mridha,"debasish-mridha, inspirational, life-wisdom, philosophy, quotes"
"There is only one passion, the passion for happiness.",Denis Diderot,"passion, only "
"If you want peace, prepare for ideological war with those who want others to prepare for physical war.",Jakub Bożydar Wiśniewski,"militarism, pacifism, peace, war"
A library is chamber of treasures.,Lailah Gifty Akita,"education, learning, library, read"
"Nature finds its peace in silence, forgiveness, and universal love.",Debasish Mridha,"debasish-mridha, forgiveness, inspirational, nature, peace"
When everybody is planting apples a visionary plants oranges.,Matshona Dhliwayo,"apple, creativity, greatness, insight, lead"
"Like soil, the quality of your mind decides the quality and quantity of ideas your mind can produce.",Mensah Oteh,"abundance, appreciation, celebration, dreams, friendship"
Everything known and referred to as “impossible” is often what has not been attempted before. It will always have a change of name once it’s attempted!,"Israelmore Ayivor, Daily Drive 365","attempt, change, do-it, impossible, israelmore-ayivor"
Let go of what was and embrace what to be.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","change, determined-spirit, inspiring, life, motivation"
Your Mind is an asset that is a foundation upon which resources are built. Resources will come and go but a Mindset built on success will always attract the needed resources.,Oscar Bimpong,"asset, foundation, mind, mindset, resources"
"It is not objective proof of God's existence that we want but, whether we use religious language for it or not, the experience of God's presence.","Frederick Buechner, The Magnificent Defeat","god, religion, spirituality"
I understand now that nobody could have saved Ty but Ty. There’s no one else to blame. Not you. Not me. Ty was holding all the cards.,"Cynthia Hand, The Last Time We Say Goodbye","death, suicide"
He is as full of valor as of kindness. Princely in both.,"William Shakespeare, Henry V","bravery, graciousness, humility, kindness, meekness"
"No government ought to be without censors; and where the press is free, no one ever will. Chance is the pseudonym of God when he did not want to sign.",Anatole France,"god, government, free "
"Fear? What has a man to do with fear? Chance rules our lives, and the future is all unknown. Best live as we may, from day to day.","Sophocles, Oedipus Rex","chance, fear, life, self-confidence, self-reliance"
"There should be no tenacity of insistence or obstinate insistence of any kind. If there is any tenacity, it should be the kind that will go away if you tell it to!",Dada Bhagwan,"insist, insistence, obstinacy, obstinate, spiritual"
"Even if you don't have all the things you want, be grateful for the things you don't have that you don't want (Bob Dylan's dad)","Bob Dylan, Chronicles, Vol. 1",inspirational
"Apparently the complete works of Shakespeare packed quite a wallop. To think, my mother said I'd never find use for an English degree. Ha! I'd like to see her knock someone silly with an apron and a cookie press.","Rachel Vincent, Stray",funny
I celebrate my spirit with joy and playful abandon.,"Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life"," celebration, inspirational, joyful-living, quotes-tumblr, quotes-twitter"
Be faithful in small things because it is in them that your strength lies.,Mother Teresa,"hope, religious, spiritual"
"Appreciate who accompany, let go who leave. People who surround are ultimate wealth.",Mahrukh,people
"In Kenya, I met wonderful girls; girls who wanted to help their communities. I was with them in their school, listening to their dreams. They still have hope. They want to be doctor and teachers and engineers.",Malala Yousafzai,"dreams, school, listening "
Who you allow into the circle of your life will make the difference in the quality of your life.,"Chris Prentiss, Zen and the Art of Happiness","friends, friendship, happiness, life, philosophy"
Hate in your heart will consume you.,Lailah Gifty Akita,"advice, daily-inspiration, encouragement, hate, life-lessons"
"Creators aren't gods. They make places, which is quite hard. It's men that make gods. This explains a lot.","Terry Pratchett, The Last Continent",religion
It may be inevitable that mankind has to suffer so that it may gain experience to transcend and transform her collective consciousness.,Debasish Mridha,"consciousness, debasish-mridha, gain-experience, inspirational, mankind"
We ought to walk with God and not for God.,Lailah Gifty Akita,"christian, god, life, motivational, self-help"
"The times, they are a-changing! What was once defined by tradition, respect, and custom has evolved into a relaxed and casual society. What is acceptable and normal today would never have been permitted in the past.","Susan C. Young, The Art of Preparation: 8 Ways to Plan with Purpose & Intention for Positive Impact","attitude, branding, communication-skills, motivational-speaker, relationship"
Respect yourself is you would have others respect you.,Baltasar Gracián,"hapiness, life, love, respect"
Your time is your time. Be awake to it. It's hard work to be wisely alive.,"Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift","author, book, carew-papritz, inspirational, life"
"The only history is a mere question of one's struggle inside oneself. But that is the joy of it. One need neither discover Americas nor conquer nations, and yet one has as great a work as Columbus or Alexander, to do.",D. H. Lawrence,"work, great, struggle "
"The only cost to happiness is, choice. Remember, happiness is exclusive of materialism and/or the external worldly influences","Dr. Jacinta Mpalyenkana, Ph.D, MBA",happiness
Relax. Refresh. Renew. Play. Sing. Laugh. Enjoy. Forgive. Dance. Love. Hug. Share. Kiss. Create. Explore. Hope. Listen. Dare. Trust. Dream. Learn. TODAY!,"Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","create, dance, dare, dream, enjoy"
Generosity is an act of love.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","christian, faith, friendship, giving, good-deeds"
"I think my life is of great importance, but I also think it is meaningless.",Albert Camus,"absurd, absurdism, musings, philosophy"
"Before he could say anything, ""I told him; I have had my share of boys"".He drew me closer and said ""let me your man then"".","Pushpa Rana, Just the Way I Feel","boys, making-love, men, passion, sex"
"Every time God gives you prosperity and favor to attain His goals and you do not use it, the devil will lead you in another way",Sunday Adelaja,"attain, devil, favor, goals, god"
You have to choose your own destiny.You have to choose your own path in life.,"Lailah Gifty Akita, Think Great: Be Great!","choose, choosen, chooses, inspirational-quote, inspirational"
"Wherever you go, go with love, but never leave hope behind.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
…I am left with lessthan one drop of my blood that does not tremble.I recognize the the signs of the old flame.,"Dante Alighieri, Purgatorio","love, passion"
One would go mad if one took the Bible seriously but to take it seriously one must be already mad. ,"Aleister Crowley, Magick: Liber ABA: Book 4","anti-christian, atheism, bible, religion"
"They are a couple in love, and anyone but a fool would see it is simply that, nothing more- and certainly nothing less.","Philippa Gregory, The Red Queen","love, lovers"
"Though there are no stars, no light but the souls in love will always shine so bright even in darkness.",Auliq Ice,"happiness, happy-endings, joy, joyful-living, love"
Do not curse the well that quenches your thirst.,Matshona Dhliwayo,"guru, life-quotations, life-quote, life, sage"
What is hardest to accept about the passage of time is that the people who once mattered the most to us wind up in parentheses.,"John Irving, The Cider House Rules","living, sad"
If some people came into contact with anything real they would be shocked out of their minds.,"Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life","learning, minds, reality, shocking"
"Ignorance is your opponent, fear is your enemy, vice is your adversary, virtue is your friend, and wisdom is your helper.",Matshona Dhliwayo,"adversary, enemy-quotations, enemy, enlightenment, fear"
Being proactive and intentional will enable you to create a positive experience for yourself and others.,"Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact","build-momentum, communication-skills, relationship, susanspeaks-com"
Wisdom is the pillar of success.,Matshona Dhliwayo,wisdom
Keep moving forward! You don't need permission from anyone in order to move on your own father's land! Go ahead and take the lead!,"Israelmore Ayivor, Daily Drive 365","father, go-ahead, god, israelmore-ayivor, keep-growing"
The two enemies of human happiness are pain and boredom.,Arthur Schopenhauer,"pain, boredom, human "
Great tranquility of heart is his who cares for neither praise nor blame.,Thomas a Kempis,"great, heart, blame "
"If ever a generation was bequeathed the knowledge of God, we were. Yet we are throwing away this glorious heritage on our lust and passions.","Billy Graham, Billy Graham in Quotes","billy-graham, knowledge"
"Don't build a team that will fuel your 'ego'. Build a team that has the skills, desire & passion for fueling the 'vision'.","Yvonne Pierre, The Day My Soul Cried:  A Memoir","business, dream, success, team, vision"
The books - the generous friends who met me without suspicion - the merciful masters who never used me ill!,"Wilkie Collins, Armadale",books
Prayer without gratitude is more like complaining.,"Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life","gratitude, prayer"
Today's tears sweep the road to tomorrow's blessings.,Matshona Dhliwayo," blessings, grief, happiness, happy, inspirational-motivational"
"It is the strongest, not the prettiest birds that conquer the sky.",Matshona Dhliwayo,"conquer, motivational-quotations, motivational-quote, motivational, strength-quotations"
"I'm very type-A, and many things in my life are about control and domination, but eating should be a submissive experience, where you let down your guard and enjoy the ride.",Anthony Bourdain,"life, control, enjoy "
Most problems can be effectively dealt with before they are in full swing.,"Innocent Mwatsikesimbe, Mirror","proactive, problem-solving, problems, time"
Nothing ever really ends. That’s the horrible part of being in the short-story business—you have to be a real expert on ends. Nothing in real life ends. ‘Millicent at last understands.’ Nobody ever understands.,Kurt Vonnegut Jr.,"1970, writers, writing"
The profoundest thing writing teaches us is how much we contradict ourselves.,Marty Rubin,"contradiction, learning, writing"
depth and substance.the two most exquisite qualities. be it in a poemor a person.,Sanober  Khan,"depth, exquisite, person, poems, poetry"
He did not waste time in a vain search for a place in history.,"Dejan Stojanovic, The Sun Watches the Sun","books, dejan-stojanovic, history, literature, literature"
"..he had trampled her poor, pining heart, and the wound was still raw, even these many years later.","Ransom Riggs, Miss Peregrine’s Home for Peculiar Children","friendship, heart, love, relationship"
All who call on God in true faith  earnestly from the heart  will certainly be heard  and will receive what they have asked and desired.,Martin Luther,god
"There is no royal road to science, and only those who do not dread the fatiguing climb of its steep paths have a chance of gaining its luminous summits.","Karl Marx, Capital, Vol 1: A Critical Analysis of Capitalist Production","fatigue, inspirational, royal-road, science, summit"
The worst cynicism: a belief in luck.,Joyce Carol Oates,"luck, belief, worst "
The secret is writing down one simple line after another.,Charles Bukowski,"secret, writing"
i never met myself before i die once in lifetime coming again as best alive,litymunshi,"life, lifetime, love, meeting-someone, self-care"
For time and the world do not stand still. Change is the law of life. And those who look only to the past or the present are certain to miss the future.,John F. Kennedy,"life, time, future "
"Like"" and ""like"" and ""like""--but what is the thing that lies beneath the semblance of the thing?","Virginia Woolf, The Waves","reality, semblance, truth"
"If its danger you seek, come on over. I covet tranquility but beget the tempest storm.",Donna Lynn Hope,"danger, femme-fatale, passion"
Breath is the bridge that connects us with the mysteries of the universe and universal consciousness.,Debasish Mridha,"consciousness, debasish-mridha, inspirational, philosophy, quotes"
"If you don't love me, it does not matter, anyway I can love for both of us.",Stendhal,"romantic, me, you "
"It is necessary to the happiness of man that he be mentally faithful to himself. Infidelity does not consist in believing, or in disbelieving, it consists in professing to believe what he does not believe.","Thomas Paine, The Age of Reason","belief, disbelief, happiness, infidelity, lie"
Your level of consciousness defines the beauty of your life and destiny.,Debasish Mridha,"beauty, debasish-mridha, destiny, inspirational, philosophy"
Your love opened up a whole world that no amount of books or wisdom could ever do.,Kamand Kojouri,"book, change, experience, in-love, inspiration"
"It was considered at the time a striking proof of virtue in the young king that he was sorry for his father's death;but, as common subjects have that virtue too, sometimes, we will say no more about it.",Charles Dickens,"history, humor"
